terminal_level,known_density,fitted_density
1.988288921660674305e+03,7.032856419318226677e-17,3.642762591860887477e-19
1.988866091378052488e+03,7.144660531870698166e-17,3.642762591860887477e-19
1.989443261095430671e+03,7.258178263228298826e-17,3.642762591860887477e-19
1.990020430812808854e+03,7.373434876036169832e-17,3.642762591860887477e-19
1.990597600530187037e+03,7.490455990183385232e-17,3.642762591860887477e-19
1.991174770247564993e+03,7.609267587632957457e-17,3.642762591860887477e-19
1.991751939964943176e+03,7.729896017314478371e-17,3.642762591860887477e-19
1.992329109682321359e+03,7.852368000079559828e-17,3.642762591860887477e-19
1.992906279399699542e+03,7.976710633720755334e-17,3.642762591860887477e-19
1.993483449117077726e+03,8.102951398055780908e-17,3.642762591860887477e-19
1.994060618834455909e+03,8.231118160076305443e-17,3.642762591860887477e-19
1.994637788551834092e+03,8.361239179162792136e-17,3.642762591860887477e-19
1.995214958269212275e+03,8.493343112367062401e-17,3.642762591860887477e-19
1.995792127986590458e+03,8.627459019761318846e-17,3.642762591860887477e-19
1.996369297703968641e+03,8.763616369856999698e-17,3.642762591860887477e-19
1.996946467421346824e+03,8.901845045091996650e-17,3.642762591860887477e-19
1.997523637138725007e+03,9.042175347388680372e-17,3.642762591860887477e-19
1.998100806856102963e+03,9.184638003782752176e-17,3.642762591860887477e-19
1.998677976573481146e+03,9.329264172123808058e-17,3.642762591860887477e-19
1.999255146290859329e+03,9.476085446849307492e-17,3.642762591860887477e-19
1.999832316008237513e+03,9.625133864831440360e-17,3.642762591860887477e-19
2.000409485725615696e+03,9.776441911298950457e-17,3.642762591860887477e-19
2.000986655442993879e+03,9.930042525834741420e-17,3.642762591860887477e-19
2.001563825160372062e+03,1.008596910844920467e-16,3.642762591860887477e-19
2.002140994877750245e+03,1.024425552573130069e-16,3.642762591860887477e-19
2.002718164595128428e+03,1.040493611707781148e-16,3.642762591860887477e-19
2.003295334312506384e+03,1.056804570100097377e-16,3.642762591860887477e-19
2.003872504029884567e+03,1.073361958151802184e-16,3.642762591860887477e-19
2.004449673747262750e+03,1.090169355461975080e-16,3.642762591860887477e-19
2.005026843464640933e+03,1.107230391482266832e-16,3.642762591860887477e-19
2.005604013182019116e+03,1.124548746180372159e-16,3.642762591860887477e-19
2.006181182899397299e+03,1.142128150711825651e-16,3.642762591860887477e-19
2.006758352616775483e+03,1.159972388100429800e-16,3.642762591860887477e-19
2.007335522334153666e+03,1.178085293927251907e-16,3.642762591860887477e-19
2.007912692051531849e+03,1.196470757028269616e-16,3.642762591860887477e-19
2.008489861768910032e+03,1.215132720200873755e-16,3.642762591860887477e-19
2.009067031486288215e+03,1.234075180919333626e-16,3.642762591860887477e-19
2.009644201203666398e+03,1.253302192059236317e-16,3.642762591860887477e-19
2.010221370921044354e+03,1.272817862631014446e-16,3.642762591860887477e-19
2.010798540638422537e+03,1.292626358522894861e-16,3.642762591860887477e-19
2.011375710355800720e+03,1.312731903252959685e-16,3.642762591860887477e-19
2.011952880073178903e+03,1.333138778730816656e-16,3.642762591860887477e-19
2.012530049790557086e+03,1.353851326028949053e-16,3.642762591860887477e-19
2.013107219507935270e+03,1.374873946163445416e-16,3.642762591860887477e-19
2.013684389225313453e+03,1.396211100884854047e-16,3.642762591860887477e-19
2.014261558942691636e+03,1.417867313478806575e-16,3.642762591860887477e-19
2.014838728660069819e+03,1.439847169576700230e-16,3.642762591860887477e-19
2.015415898377447775e+03,1.462155317976520436e-16,0.000000000000000000e+00
2.015993068094825958e+03,1.484796471474094855e-16,0.000000000000000000e+00
2.016570237812204141e+03,1.507775407704449531e-16,0.000000000000000000e+00
2.017147407529582324e+03,1.531096969994007442e-16,0.000000000000000000e+00
2.017724577246960507e+03,1.554766068223328935e-16,0.000000000000000000e+00
