case_id,benchmark,coverage,repetition,method,forward_shift,penalty,validation_rmse,mean_full_density_l1,tail_error_pp,tail_absolute_error_pp
mixture_original_r08,mixture,original,8,selected,0,1e-07,0.832437277870131,0.06483058595635925,0.49384231964962144,0.49384231964962144
mixture_original_r08,mixture,original,8,fixed,0,1e-06,0.6445539097202838,0.053232354735052265,0.4869480136707587,0.4869480136707587
mixture_original_r09,mixture,original,9,selected,0,1e-07,1.0653587170720953,0.0655174779331166,0.1015957254317355,0.1015957254317355
mixture_original_r09,mixture,original,9,fixed,0,1e-06,1.1467728752957675,0.05554539383980958,0.58627833819679,0.58627833819679
mixture_original_r10,mixture,original,10,selected,0,1e-07,1.1178464594943442,0.07381994855250973,0.09097522263066693,0.09097522263066693
mixture_original_r10,mixture,original,10,fixed,0,1e-06,1.0247953806089714,0.058494434215964494,0.42332559690361776,0.42332559690361776
mixture_original_r11,mixture,original,11,selected,0,1e-07,0.9010403278553394,0.06898052544545491,0.06426975196426268,0.06426975196426268
mixture_original_r11,mixture,original,11,fixed,0,1e-06,0.8460891630616156,0.06027333874041696,0.08052123568126501,0.08052123568126501
mixture_original_r12,mixture,original,12,selected,0,1e-07,1.1041726939246448,0.06749558477066334,0.5580979092372743,0.5580979092372743
mixture_original_r12,mixture,original,12,fixed,0,1e-06,0.9474862972507843,0.05645612652035589,0.5828804218819215,0.5828804218819215
mixture_original_r13,mixture,original,13,selected,0,1e-07,0.9529010913482258,0.06847385629934997,0.036320035290567446,0.036320035290567446
mixture_original_r13,mixture,original,13,fixed,0,1e-06,0.8258204412275343,0.05861080454171878,0.08140441853806152,0.08140441853806152
mixture_original_r14,mixture,original,14,selected,0,1e-07,1.3430129022854467,0.07267810802623476,0.49736820937418946,0.49736820937418946
mixture_original_r14,mixture,original,14,fixed,0,1e-06,1.0215423746682104,0.057755565984693794,0.31045984604894766,0.31045984604894766
mixture_original_r15,mixture,original,15,selected,0,1e-07,1.1797290386252772,0.07373038697572273,0.0755441955301672,0.0755441955301672
mixture_original_r15,mixture,original,15,fixed,0,1e-06,0.6958508719941804,0.05728990744854616,0.11209870311136363,0.11209870311136363
mixture_original_r16,mixture,original,16,selected,0,1e-07,1.0898818747356986,0.0778734273254963,0.08999280291506848,0.08999280291506848
mixture_original_r16,mixture,original,16,fixed,0,1e-06,0.7084177717828783,0.06004257525611746,0.08439316262875037,0.08439316262875037
mixture_original_r17,mixture,original,17,selected,0,1e-07,1.1510660352037687,0.0704103768112937,0.053949861756336266,0.053949861756336266
mixture_original_r17,mixture,original,17,fixed,0,1e-06,0.7273933288508708,0.05424161922133042,0.1464561485175483,0.1464561485175483
mixture_original_r18,mixture,original,18,selected,0,1e-07,1.0628507036118424,0.06908457627267453,0.22742936040691508,0.22742936040691508
mixture_original_r18,mixture,original,18,fixed,0,1e-06,0.8134686274417765,0.05675704188761786,0.38425446596660284,0.38425446596660284
mixture_original_r19,mixture,original,19,selected,0,1e-07,1.0840594417124212,0.06817354996803983,0.5758455269568434,0.5758455269568434
mixture_original_r19,mixture,original,19,fixed,0,1e-06,0.8278440066145462,0.055916176403733815,0.535750228608385,0.535750228608385
lognormal_extended_r00_f+10,lognormal,extended,0,forward,0.001,1e-06,2.49670483193434,0.055918432525261685,0.07190415931174947,0.07190415931174947
lognormal_extended_r00_f+50,lognormal,extended,0,forward,0.005,1e-06,14.31477442583122,0.16433939093151254,0.07245075816375052,0.07245075816375052
lognormal_extended_r00_f-10,lognormal,extended,0,forward,-0.001,1e-06,0.47667124227171337,0.04202666784593209,0.0725331607960248,0.0725331607960248
lognormal_extended_r00_f-50,lognormal,extended,0,forward,-0.005,1e-06,2.920136073862246,0.08314898345393087,0.07220514771657172,0.07220514771657172
lognormal_extended_r01_f+10,lognormal,extended,1,forward,0.001,1e-06,2.496541801519848,0.05572450854804719,0.0027919208800676783,0.0027919208800676783
lognormal_extended_r01_f+50,lognormal,extended,1,forward,0.005,1e-06,14.314426681106813,0.16386134729303,0.0027903831742098935,0.0027903831742098935
lognormal_extended_r01_f-10,lognormal,extended,1,forward,-0.001,1e-06,0.47593362214545104,0.04196709152019497,0.002667285154073608,0.002667285154073608
lognormal_extended_r01_f-50,lognormal,extended,1,forward,-0.005,1e-06,2.9203535426941367,0.0824453597452849,0.0033946785596939907,0.0033946785596939907
lognormal_extended_r02_f+10,lognormal,extended,2,forward,0.001,1e-06,2.4963975821980324,0.05577712410488148,0.011103263623455512,0.011103263623455512
lognormal_extended_r02_f+50,lognormal,extended,2,forward,0.005,1e-06,14.314989707310739,0.1631950309697925,0.010881303140674713,0.010881303140674713
lognormal_extended_r02_f-10,lognormal,extended,2,forward,-0.001,1e-06,0.4763790912333836,0.04243188941851539,0.010747551165098774,0.010747551165098774
lognormal_extended_r02_f-50,lognormal,extended,2,forward,-0.005,1e-06,2.920822589200643,0.08130987962267201,0.011084056334446533,0.011084056334446533
lognormal_extended_r03_f+10,lognormal,extended,3,forward,0.001,1e-06,2.4962662718215456,0.0553963249108399,-0.019397073341270808,0.019397073341270808
lognormal_extended_r03_f+50,lognormal,extended,3,forward,0.005,1e-06,14.314944559088387,0.16383760587161822,-0.018392188976284987,0.018392188976284987
lognormal_extended_r03_f-10,lognormal,extended,3,forward,-0.001,1e-06,0.47645037032075577,0.04154108320263154,-0.01891847593408786,0.01891847593408786
lognormal_extended_r03_f-50,lognormal,extended,3,forward,-0.005,1e-06,2.919962003084938,0.0835961321326118,-0.01799659311670981,0.01799659311670981
lognormal_extended_r04_f+10,lognormal,extended,4,forward,0.001,1e-06,2.496811976144993,0.05553160468767748,-0.02810650663492203,0.02810650663492203
lognormal_extended_r04_f+50,lognormal,extended,4,forward,0.005,1e-06,14.31463786527999,0.16387072262788857,-0.028483425578406458,0.028483425578406458
lognormal_extended_r04_f-10,lognormal,extended,4,forward,-0.001,1e-06,0.47671658697645164,0.041522943386019584,-0.02868785422893657,0.02868785422893657
lognormal_extended_r04_f-50,lognormal,extended,4,forward,-0.005,1e-06,2.919909852960144,0.08327971492942246,-0.027719953732345905,0.027719953732345905
lognormal_extended_r05_f+10,lognormal,extended,5,forward,0.001,1e-06,2.4962746097071586,0.05694703358257566,-0.010820576394925683,0.010820576394925683
lognormal_extended_r05_f+50,lognormal,extended,5,forward,0.005,1e-06,14.314635047310004,0.16460842792455654,-0.01153261261528254,0.01153261261528254
lognormal_extended_r05_f-10,lognormal,extended,5,forward,-0.001,1e-06,0.4766770861891362,0.04302778589746281,-0.0109932168526452,0.0109932168526452
lognormal_extended_r05_f-50,lognormal,extended,5,forward,-0.005,1e-06,2.920234324334211,0.08320131141768039,-0.011396257787486775,0.011396257787486775
lognormal_extended_r06_f+10,lognormal,extended,6,forward,0.001,1e-06,2.496593500034348,0.05550455720108853,0.02669944829070082,0.02669944829070082
lognormal_extended_r06_f+50,lognormal,extended,6,forward,0.005,1e-06,14.314587832590485,0.16629700148034193,0.02718298744723588,0.02718298744723588
lognormal_extended_r06_f-10,lognormal,extended,6,forward,-0.001,1e-06,0.4772264820540328,0.04247367823633408,0.026917591333222038,0.026917591333222038
lognormal_extended_r06_f-50,lognormal,extended,6,forward,-0.005,1e-06,2.9205978017752887,0.08333984945248357,0.027398810494485552,0.027398810494485552
lognormal_extended_r07_f+10,lognormal,extended,7,forward,0.001,1e-06,2.4961113107020827,0.05616081353398156,-0.01613203532664395,0.01613203532664395
lognormal_extended_r07_f+50,lognormal,extended,7,forward,0.005,1e-06,14.314920303950167,0.16299169259308532,-0.016532294457839235,0.016532294457839235
lognormal_extended_r07_f-10,lognormal,extended,7,forward,-0.001,1e-06,0.4783949394932406,0.042174196761196575,-0.017150868157313683,0.017150868157313683
lognormal_extended_r07_f-50,lognormal,extended,7,forward,-0.005,1e-06,2.9202552707375875,0.08328852986610219,-0.016977531947710865,0.016977531947710865
lognormal_extended_r08_f+10,lognormal,extended,8,forward,0.001,1e-06,2.496375561111514,0.05562226417562527,-0.004712790487924152,0.004712790487924152
lognormal_extended_r08_f+50,lognormal,extended,8,forward,0.005,1e-06,14.314700852124556,0.16261638303818515,-0.004813339784820719,0.004813339784820719
lognormal_extended_r08_f-10,lognormal,extended,8,forward,-0.001,1e-06,0.47586330704303254,0.041527142032869904,-0.0044351696704064865,0.0044351696704064865
lognormal_extended_r08_f-50,lognormal,extended,8,forward,-0.005,1e-06,2.9196613408183665,0.08295542276699187,-0.004269061898546506,0.004269061898546506
lognormal_extended_r09_f+10,lognormal,extended,9,forward,0.001,1e-06,2.4962015822675707,0.05629613612991907,0.042172095567436084,0.042172095567436084
lognormal_extended_r09_f+50,lognormal,extended,9,forward,0.005,1e-06,14.314896522041595,0.1638657936443449,0.04288004901757659,0.04288004901757659
lognormal_extended_r09_f-10,lognormal,extended,9,forward,-0.001,1e-06,0.47665537514476763,0.042843863336699706,0.043209926733326756,0.043209926733326756
lognormal_extended_r09_f-50,lognormal,extended,9,forward,-0.005,1e-06,2.92033632938567,0.08240936793867848,0.04298503662912654,0.04298503662912654
lognormal_extended_r10_f+10,lognormal,extended,10,forward,0.001,1e-06,2.496836098440627,0.05577432523285932,0.023266474474174098,0.023266474474174098
lognormal_extended_r10_f+50,lognormal,extended,10,forward,0.005,1e-06,14.314873632641909,0.16398436587307447,0.023571610755150324,0.023571610755150324
lognormal_extended_r10_f-10,lognormal,extended,10,forward,-0.001,1e-06,0.47906612307584284,0.04224140549224502,0.024177494970888547,0.024177494970888547
lognormal_extended_r10_f-50,lognormal,extended,10,forward,-0.005,1e-06,2.9204925836636595,0.08336799975451809,0.023429177613042227,0.023429177613042227
lognormal_extended_r11_f+10,lognormal,extended,11,forward,0.001,1e-06,2.496468074639176,0.05633916755834062,-0.009853623003484704,0.009853623003484704
lognormal_extended_r11_f+50,lognormal,extended,11,forward,0.005,1e-06,14.314464434887718,0.16308747192235584,-0.011107274089752804,0.011107274089752804
lognormal_extended_r11_f-10,lognormal,extended,11,forward,-0.001,1e-06,0.4771056391174189,0.04190371926087002,-0.011291094404209355,0.011291094404209355
lognormal_extended_r11_f-50,lognormal,extended,11,forward,-0.005,1e-06,2.920113772940408,0.08279372108812859,-0.010606344498815416,0.010606344498815416
lognormal_extended_r12_f+10,lognormal,extended,12,forward,0.001,1e-06,2.496350892044012,0.05651766593632837,-0.037150772526123796,0.037150772526123796
lognormal_extended_r12_f+50,lognormal,extended,12,forward,0.005,1e-06,14.314512979345169,0.16334033784960406,-0.03739428304712612,0.03739428304712612
lognormal_extended_r12_f-10,lognormal,extended,12,forward,-0.001,1e-06,0.4772230966254165,0.04241321972790481,-0.037598481465699725,0.037598481465699725
lognormal_extended_r12_f-50,lognormal,extended,12,forward,-0.005,1e-06,2.919858317384883,0.08313130958473991,-0.03704787802057959,0.03704787802057959
lognormal_extended_r13_f+10,lognormal,extended,13,forward,0.001,1e-06,2.4966995764327535,0.05540323092427493,-0.017106241336752644,0.017106241336752644
lognormal_extended_r13_f+50,lognormal,extended,13,forward,0.005,1e-06,14.314488577555782,0.16414519071725409,-0.0171995062417898,0.0171995062417898
lognormal_extended_r13_f-10,lognormal,extended,13,forward,-0.001,1e-06,0.4769744547139378,0.04166799430589901,-0.017823544512347723,0.017823544512347723
lognormal_extended_r13_f-50,lognormal,extended,13,forward,-0.005,1e-06,2.9202262800812524,0.08247899571585791,-0.017456441051068174,0.017456441051068174
lognormal_extended_r14_f+10,lognormal,extended,14,forward,0.001,1e-06,2.4965361441568383,0.05651816743368414,-0.016367481819852363,0.016367481819852363
