horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
9.000000000000000000e+01,1.242133435045314945e+04,1.251692177558826916e+04,7.467912449453409371e-17,-1.678314978966767881e-11,1.997954225843011397e-13
9.000000000000000000e+01,1.251692177558826916e+04,1.261250920072338886e+04,0.000000000000000000e+00,-1.689511546350160123e-11,9.412545253780699848e-15
9.000000000000000000e+01,1.261250920072338886e+04,1.270809662585850674e+04,0.000000000000000000e+00,-1.704671028282205608e-11,7.243024364868529612e-14
9.000000000000000000e+01,1.270809662585850674e+04,1.280368405099362826e+04,2.780396155177139781e-17,-1.716035210144996207e-11,2.090303006079697636e-13
9.000000000000000000e+01,1.280368405099362826e+04,1.289927147612874614e+04,3.973706212642710216e-17,-1.735053208248421181e-11,3.850053604741314499e-14
9.000000000000000000e+01,1.289927147612874614e+04,1.299485890126386766e+04,0.000000000000000000e+00,-1.753038245700947607e-11,-7.758938924273967301e-14
9.000000000000000000e+01,1.299485890126386766e+04,1.309044632639898555e+04,0.000000000000000000e+00,-1.758678925444677151e-11,-1.912120641761649661e-13
9.000000000000000000e+01,1.309044632639898555e+04,1.318603375153410525e+04,6.571390198301654763e-18,-1.755649216624138565e-11,1.555007039604450938e-13
9.000000000000000000e+01,1.318603375153410525e+04,1.328162117666922495e+04,2.823480636975796222e-17,-1.759861308581322892e-11,-1.435371287155805922e-14
1.200000000000000000e+02,1.814855486863992837e+03,1.910639526448481320e+03,8.878759587390235088e-19,-3.083220503886805930e-12,-4.946362258783926472e-13
1.200000000000000000e+02,1.910639526448481320e+03,2.006423566032970029e+03,1.084626423555394841e-18,-1.041566695707106788e-12,4.449068804841081864e-13
1.200000000000000000e+02,2.006423566032970029e+03,2.102207605617458285e+03,0.000000000000000000e+00,-1.004090731696396453e-12,1.601788774171229380e-13
1.200000000000000000e+02,2.102207605617458285e+03,2.197991645201946994e+03,3.796559471553840730e-19,-1.272300269138265872e-12,-2.830783248081078141e-13
1.200000000000000000e+02,2.197991645201946994e+03,2.293775684786435249e+03,0.000000000000000000e+00,-9.962282051261415101e-13,5.942600823390551758e-14
