case_id,benchmark,coverage,amplitude,repetition,days,validation_rmse,full_density_l1,below_0_8_forward,above_1_2_forward,above_1_8_forward,normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_variance
mixture_sparse_a1_r21,mixture,sparse,0.1,21,30,0.517292958706361,0.09277590377880354,0.00730514623209328,0.015118339758864695,1.8943763118312052e-12,0.00443842167182007,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r21,mixture,sparse,0.1,21,60,0.26698250317626854,0.05430494207342884,0.02653769796225995,0.028936580379667357,1.1044318843962641e-09,0.009008575099717087,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r21,mixture,sparse,0.1,21,90,0.14315500021994756,0.04151841869847252,0.03882305486894747,0.04146867773567042,0.00020699481468738746,0.013656030419343601,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r21,mixture,sparse,0.1,21,120,0.2097196595170689,0.03774755709776532,0.05092779465688209,0.05336622597057547,0.00022833433067040188,0.018161752469774806,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r21,mixture,sparse,0.1,21,180,0.5422552988533468,0.038269687014149144,0.07414306503063509,0.07489063360908138,0.001971669254325815,0.027276577782194167,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r21,mixture,sparse,0.1,21,240,0.19969420755157344,0.029331687867497774,0.09637888471805167,0.09491128621019262,0.006958300427024343,0.03697751850333009,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r21,mixture,sparse,0.1,21,300,0.3289071506063648,0.04084934678266025,0.11691385082687822,0.11169085616319986,0.009092363357935286,0.04667278215811632,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r21,mixture,sparse,0.1,21,365,0.32485782124675217,0.04566415270267347,0.13774053410106066,0.12784432258061695,0.012837793900166889,0.05665002540761743,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r22,mixture,sparse,0.1,22,30,0.5931053327768337,0.09491313442407125,0.006922251082890958,0.01509078398921012,1.1612020012839752e-12,0.004427405635939463,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r22,mixture,sparse,0.1,22,60,0.2889999573842128,0.05404684571372584,0.02660319521701543,0.029270066491553635,1.1827588820981254e-09,0.009004640301541356,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r22,mixture,sparse,0.1,22,90,0.19452638050796617,0.041804622183486954,0.03927160371535752,0.04166478868222184,0.00020306604568199238,0.013680949140949972,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r22,mixture,sparse,0.1,22,120,0.40335996103775873,0.04555055678796588,0.051122449828484545,0.05318802898020687,0.002442131470236269,0.0187431752104259,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r22,mixture,sparse,0.1,22,180,0.3681571749342946,0.036897945306640915,0.07405036669377471,0.07499207804024852,0.004528669970192542,0.027912708402605846,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r22,mixture,sparse,0.1,22,240,0.2086494807454943,0.03338769706951601,0.09591816730555539,0.09503388184031544,0.007818633029053427,0.036970128398853275,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r22,mixture,sparse,0.1,22,300,1.228480733171956,0.03994983027575941,0.1170708881721532,0.11172784912934877,0.013265050430556077,0.045833621292368676,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r22,mixture,sparse,0.1,22,365,0.226439922716477,0.043132539535082504,0.13813962052395612,0.12767200769016343,0.013048745234191549,0.0566674641237348,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
