horizon_days,left_edge,right_edge,probability_mass
3.000000000000000000e+01,4.564369211646931035e+03,4.659564617817393810e+03,3.381042841755780997e-18
3.000000000000000000e+01,4.659564617817393810e+03,4.754760023987857494e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.754760023987857494e+03,4.849955430158320269e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.849955430158320269e+03,4.945150836328783043e+03,3.299068657207750531e-17
3.000000000000000000e+01,4.945150836328783043e+03,5.040346242499245818e+03,1.900028302148428785e-05
3.000000000000000000e+01,5.040346242499245818e+03,5.135541648669708593e+03,1.139293626501446197e-03
3.000000000000000000e+01,5.135541648669708593e+03,5.230737054840171368e+03,4.313364908733963166e-03
3.000000000000000000e+01,5.230737054840171368e+03,5.325932461010634142e+03,1.036072908462493808e-02
3.000000000000000000e+01,5.325932461010634142e+03,5.421127867181097827e+03,1.995983698245160087e-02
3.000000000000000000e+01,5.421127867181097827e+03,5.516323273351560601e+03,3.347692273962202952e-02
3.000000000000000000e+01,5.516323273351560601e+03,5.611518679522023376e+03,5.043653850516147119e-02
3.000000000000000000e+01,5.611518679522023376e+03,5.706714085692486151e+03,6.924708697493703324e-02
3.000000000000000000e+01,5.706714085692486151e+03,5.801909491862948926e+03,8.737439553394911462e-02
3.000000000000000000e+01,5.801909491862948926e+03,5.897104898033411700e+03,1.017010053672440240e-01
3.000000000000000000e+01,5.897104898033411700e+03,5.992300304203874475e+03,1.093521296124487507e-01
3.000000000000000000e+01,5.992300304203874475e+03,6.087495710374337250e+03,1.089215655925164089e-01
3.000000000000000000e+01,6.087495710374337250e+03,6.182691116544800025e+03,1.008316429847702089e-01
3.000000000000000000e+01,6.182691116544800025e+03,6.277886522715263709e+03,8.681779331547909151e-02
3.000000000000000000e+01,6.277886522715263709e+03,6.373081928885726484e+03,6.958150910395703714e-02
3.000000000000000000e+01,6.373081928885726484e+03,6.468277335056189258e+03,5.199767125457586958e-02
3.000000000000000000e+01,6.468277335056189258e+03,6.563472741226652033e+03,3.637908551799141216e-02
3.000000000000000000e+01,6.563472741226652033e+03,6.658668147397114808e+03,2.401155889888605816e-02
3.000000000000000000e+01,6.658668147397114808e+03,6.753863553567577583e+03,1.508174463529076380e-02
3.000000000000000000e+01,6.753863553567577583e+03,6.849058959738040357e+03,8.976345629449171762e-03
3.000000000000000000e+01,6.849058959738040357e+03,6.944254365908504042e+03,4.978350326395274833e-03
3.000000000000000000e+01,6.944254365908504042e+03,7.039449772078966816e+03,2.509736033704326914e-03
3.000000000000000000e+01,7.039449772078966816e+03,7.134645178249429591e+03,1.106501551528883080e-03
3.000000000000000000e+01,7.134645178249429591e+03,7.229840584419892366e+03,4.038602703619107283e-04
3.000000000000000000e+01,7.229840584419892366e+03,7.325035990590355141e+03,1.249849737183822591e-04
3.000000000000000000e+01,7.325035990590355141e+03,7.420231396760817915e+03,6.982213245151187245e-05
3.000000000000000000e+01,7.420231396760817915e+03,7.515426802931280690e+03,1.037177783116501653e-04
3.000000000000000000e+01,7.515426802931280690e+03,7.610622209101744374e+03,1.458352999823481547e-04
3.000000000000000000e+01,7.610622209101744374e+03,7.705817615272207149e+03,1.578145134430954035e-04
3.000000000000000000e+01,7.705817615272207149e+03,7.801013021442669924e+03,1.328755262707247164e-04
3.000000000000000000e+01,7.801013021442669924e+03,7.896208427613132699e+03,8.476152465763902688e-05
3.000000000000000000e+01,7.896208427613132699e+03,7.991403833783595474e+03,3.547789545610338381e-05
3.000000000000000000e+01,7.991403833783595474e+03,8.086599239954058248e+03,5.257851133935017398e-06
3.000000000000000000e+01,8.086599239954058248e+03,8.181794646124521023e+03,1.079505569496919430e-17
3.000000000000000000e+01,8.181794646124521023e+03,8.276990052294984707e+03,1.851733145364188796e-17
3.000000000000000000e+01,8.276990052294984707e+03,8.372185458465448392e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.372185458465448392e+03,8.467380864635910257e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.467380864635910257e+03,8.562576270806373941e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.562576270806373941e+03,8.657771676976835806e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.657771676976835806e+03,8.752967083147299491e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.752967083147299491e+03,8.848162489317761356e+03,1.708299992510220987e-18
3.000000000000000000e+01,8.848162489317761356e+03,8.943357895488225040e+03,0.000000000000000000e+00
3.000000000000000000e+01,8.943357895488225040e+03,9.038553301658688724e+03,2.163689323564414885e-17
3.000000000000000000e+01,9.038553301658688724e+03,9.133748707829150590e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.133748707829150590e+03,9.228944113999614274e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.228944113999614274e+03,9.324139520170076139e+03,1.622773202079252006e-17
3.000000000000000000e+01,9.324139520170076139e+03,9.419334926340539823e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.419334926340539823e+03,9.514530332511001689e+03,4.424480039060753917e-18
3.000000000000000000e+01,9.514530332511001689e+03,9.609725738681465373e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.609725738681465373e+03,9.704921144851929057e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.704921144851929057e+03,9.800116551022390922e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.800116551022390922e+03,9.895311957192854607e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.895311957192854607e+03,9.990507363363316472e+03,0.000000000000000000e+00
3.000000000000000000e+01,9.990507363363316472e+03,1.008570276953378016e+04,1.388041874945906619e-18
3.000000000000000000e+01,1.008570276953378016e+04,1.018089817570424202e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.018089817570424202e+04,1.027609358187470571e+04,3.032613562916214618e-18
3.000000000000000000e+01,1.027609358187470571e+04,1.037128898804516757e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.037128898804516757e+04,1.046648439421563126e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.046648439421563126e+04,1.056167980038609312e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.056167980038609312e+04,1.065687520655655680e+04,7.431745235145046732e-18
3.000000000000000000e+01,1.065687520655655680e+04,1.075207061272702049e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.075207061272702049e+04,1.084726601889748235e+04,5.286156142402798197e-18
3.000000000000000000e+01,1.084726601889748235e+04,1.094246142506794604e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.094246142506794604e+04,1.103765683123840790e+04,2.670702946885836140e-17
3.000000000000000000e+01,1.103765683123840790e+04,1.113285223740887159e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.113285223740887159e+04,1.122804764357933345e+04,8.291979707831963131e-18
3.000000000000000000e+01,1.122804764357933345e+04,1.132324304974979714e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.132324304974979714e+04,1.141843845592026082e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.141843845592026082e+04,1.151363386209072269e+04,2.071936210759375975e-17
3.000000000000000000e+01,1.151363386209072269e+04,1.160882926826118637e+04,6.185227338400162314e-18
3.000000000000000000e+01,1.160882926826118637e+04,1.170402467443164824e+04,4.924797294157316909e-18
3.000000000000000000e+01,1.170402467443164824e+04,1.179922008060211192e+04,0.000000000000000000e+00
