benchmark,setting,days,withheld_rmse,full_density_l1,known_outside_support,fitted_below_0_8_forward,fitted_above_1_2_forward,fitted_above_1_8_forward,fitted_normalised_mean,fitted_normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_mean,known_normalised_variance
mixture,coarse,60,0.1219299540072696,0.07528481432539412,9.62614897222046e-08,0.025271679221324186,0.02824722721095605,4.049101148271473e-10,1.0,0.00908614856373191,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
mixture,coarse,90,0.13313876974603345,0.07019561029016334,5.905216433180585e-06,0.038468193668001444,0.04025696187644641,1.0904984007655786e-05,1.0000000000000075,0.013450351297679575,0.038783706826076556,0.0415837108951731,0.0002779813074339507,1.0,0.013693586207532478
mixture,coarse,120,0.09363435400512428,0.05910925526697002,4.77476545294425e-05,0.05038303667861147,0.05295288895174226,0.0004992251216365387,1.0000000000000056,0.01826108723077846,0.051150675782629516,0.05318238613221769,0.0009272247952358108,1.0,0.018351192669116022
mixture,coarse,180,0.08670676784285772,0.061639442987204605,0.0004048611380793681,0.07310859883199317,0.0758911652462318,0.0005912306816333667,0.9999999999999972,0.02708571993354969,0.07403713869332912,0.07508588197205285,0.0031938592034413188,1.0,0.027809601774899727
mixture,coarse,240,0.14852949686549458,0.052935987746582175,0.001237377170141368,0.0961962001075688,0.09467261662764598,0.0066650104726319465,0.9999999999999984,0.03750325546862143,0.09598528689944674,0.09474501957624087,0.00604275442082521,1.0,0.03746302188589668
mixture,coarse,300,0.10853404208423835,0.057918449240107694,0.002524076480763418,0.11668058423266991,0.11146384923718874,0.010921084285323672,0.9999999999999944,0.046415401288867564,0.11683927305409603,0.1118526225060108,0.008940648254429933,1.0,0.04731646597038387
mixture,coarse,365,0.13806580726617088,0.05820535369662745,0.0043594457990358765,0.13782826769314976,0.12725271919964798,0.017749516222688163,1.0,0.05599783516376533,0.13788288951261907,0.1277329330250726,0.011885496979341553,1.0,0.05822272356993101
mixture,fine,30,0.3360526143427071,0.07821606961589793,5.156148778539543e-13,0.007080522577087779,0.015106353734152634,1.102695102560906e-12,1.0000000000000453,0.0044422768325189654,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
mixture,fine,60,0.12243323080264322,0.042050681685487486,9.62614897222046e-08,0.025407429970912256,0.028300202401873177,7.956195224859253e-11,1.0000000000000315,0.009090417033545073,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
mixture,fine,90,0.13257263383184112,0.042487836593657846,5.905216433180585e-06,0.038583853276050295,0.04037480240707414,1.581961738414005e-05,1.0000000000000193,0.013450814166267255,0.038783706826076556,0.0415837108951731,0.0002779813074339507,1.0,0.013693586207532478
mixture,fine,120,0.09269939520001837,0.03627454825189957,4.77476545294425e-05,0.05060619937077196,0.05307233828742912,0.0006566556616888245,1.000000000000055,0.018295564847526924,0.051150675782629516,0.05318238613221769,0.0009272247952358108,1.0,0.018351192669116022
mixture,fine,180,0.08609181506230566,0.04339203132006255,0.0004048611380793681,0.07338095111708715,0.07594589209898268,0.0006495348296368534,0.999999999999949,0.027093287099444696,0.07403713869332912,0.07508588197205285,0.0031938592034413188,1.0,0.027809601774899727
mixture,fine,240,0.14831943905103842,0.03784249224641112,0.001237377170141368,0.0964977506720313,0.09483271854642521,0.006723554602506242,0.9999999999999329,0.03750208623018403,0.09598528689944674,0.09474501957624087,0.00604275442082521,1.0,0.03746302188589668
mixture,fine,300,0.10830911345154846,0.04372639702371027,0.002524076480763418,0.1169628900001381,0.11156625158447225,0.010977555899749459,0.9999999999999973,0.04640078643628742,0.11683927305409603,0.1118526225060108,0.008940648254429933,1.0,0.04731646597038387
mixture,fine,365,0.1377418005696614,0.04654860952708948,0.0043594457990358765,0.13814513414514373,0.12737734529100656,0.017797519075758546,0.9999999999999996,0.05599233906040113,0.13788288951261907,0.1277329330250726,0.011885496979341553,1.0,0.05822272356993101
mixture,weak,30,0.09207976639455984,0.07418484498543308,5.156148778539543e-13,0.007627631645883237,0.010462173592072067,4.173276301816893e-09,1.0000000000000044,0.004591355441365685,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
mixture,weak,60,0.11131825778854511,0.0649850073102807,9.62614897222046e-08,0.02485411102621568,0.028300491853572356,7.1860993305282544e-09,1.000000000000001,0.00928259983363433,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
mixture,weak,90,0.1355441975178359,0.058016557018397794,5.905216433180585e-06,0.03820451045010728,0.040228951371367526,0.00020737761866593106,0.9999999999999984,0.013627840228942922,0.038783706826076556,0.0415837108951731,0.0002779813074339507,1.0,0.013693586207532478
mixture,weak,120,0.11494730872295537,0.056796571576265324,4.77476545294425e-05,0.04998795920558805,0.05297534523493378,0.00015875423420628202,0.9999999999999837,0.01819351477894693,0.051150675782629516,0.05318238613221769,0.0009272247952358108,1.0,0.018351192669116022
mixture,weak,180,0.09825786704177603,0.06798242601448899,0.0004048611380793681,0.07356425709307918,0.07661345182178433,7.221891401027127e-05,0.9999999999999973,0.026926028352863396,0.07403713869332912,0.07508588197205285,0.0031938592034413188,1.0,0.027809601774899727
mixture,weak,240,0.15798507499915831,0.05868789534627296,0.001237377170141368,0.09649685815014637,0.09473498627690054,0.00718167679437583,1.0000000000000133,0.03778224507513728,0.09598528689944674,0.09474501957624087,0.00604275442082521,1.0,0.03746302188589668
mixture,weak,300,0.11987695520497282,0.06571211034039795,0.002524076480763418,0.11703211748433645,0.11233185040930467,0.010191268659417642,0.999999999999997,0.046471518467203765,0.11683927305409603,0.1118526225060108,0.008940648254429933,1.0,0.04731646597038387
mixture,weak,365,0.1506957194317412,0.06683587285379994,0.0043594457990358765,0.13782731777523236,0.1273572419587396,0.017487608859505094,0.9999999999999918,0.05597635193904549,0.13788288951261907,0.1277329330250726,0.011885496979341553,1.0,0.05822272356993101
mixture,strong,30,1.37725220937106,0.15907926250876633,5.156148778539543e-13,0.013396367568014742,0.017981857612640012,1.9227498380878702e-14,1.0000000000000069,0.004571090582126569,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
mixture,strong,60,0.4589137523085355,0.07121989477865626,9.62614897222046e-08,0.026824615554818014,0.03026112184844782,1.4801636606453624e-12,1.0000000000000062,0.00896095325203694,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
mixture,strong,90,0.2332850553550398,0.05531508458497694,5.905216433180585e-06,0.03950421569219615,0.040872666426973916,4.437876719992766e-12,1.0000000000000036,0.013439533106494927,0.038783706826076556,0.0415837108951731,0.0002779813074339507,1.0,0.013693586207532478
mixture,strong,120,0.12001224929639188,0.04136452273848789,4.77476545294425e-05,0.05078114747168271,0.05317885660665243,0.0014087891013378237,1.0000000000000004,0.018364868944189983,0.051150675782629516,0.05318238613221769,0.0009272247952358108,1.0,0.018351192669116022
mixture,strong,180,0.09365444685897702,0.039890483698803915,0.0004048611380793681,0.07334555553518089,0.07538855584944033,0.0021693755542013847,0.9999999999999971,0.027261610509407452,0.07403713869332912,0.07508588197205285,0.0031938592034413188,1.0,0.027809601774899727
mixture,strong,240,0.13468304666157194,0.03436685290557058,0.001237377170141368,0.0966587672917686,0.09493973747681686,0.00670197739057269,1.000000000000006,0.03736125259438938,0.09598528689944674,0.09474501957624087,0.00604275442082521,1.0,0.03746302188589668
mixture,strong,300,0.09557215230384927,0.04159725697105509,0.002524076480763418,0.11687546371968499,0.11143901880971491,0.011015901055031323,0.9999999999999809,0.046409064162951985,0.11683927305409603,0.1118526225060108,0.008940648254429933,1.0,0.04731646597038387
mixture,strong,365,0.11958316415453608,0.04580599093622336,0.0043594457990358765,0.1384869212181472,0.12734226838249585,0.017943122438372466,0.9999999999999997,0.05598939782443502,0.13788288951261907,0.1277329330250726,0.011885496979341553,1.0,0.05822272356993101
mixture,narrow,30,0.3316689593780559,0.09088865693501527,3.0502528049837023e-09,0.007183293612000606,0.015097421135460351,1.6718733093167369e-12,1.0000000000000278,0.004442847688386653,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
mixture,narrow,60,0.12203156929426232,0.05317867286985048,8.734249401686204e-06,0.025435110972387202,0.028293359273346336,2.2202276910822047e-10,1.0000000000000135,0.009088974838036279,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
