left_edge,right_edge,probability_mass
1.115355164372008949e+04,1.124974659661644910e+04,0.000000000000000000e+00
1.124974659661644910e+04,1.134594154951280871e+04,0.000000000000000000e+00
1.134594154951280871e+04,1.144213650240917013e+04,0.000000000000000000e+00
1.144213650240917013e+04,1.153833145530552974e+04,9.334675183792497599e-18
1.153833145530552974e+04,1.163452640820188935e+04,0.000000000000000000e+00
1.163452640820188935e+04,1.173072136109825078e+04,4.798069630104883306e-18
1.173072136109825078e+04,1.182691631399461039e+04,1.999641233601520366e-17
1.182691631399461039e+04,1.192311126689097182e+04,1.532590434203312859e-17
1.192311126689097182e+04,1.201930621978733143e+04,4.542138595594653264e-18
1.201930621978733143e+04,1.211550117268369104e+04,9.544213295440895424e-18
1.211550117268369104e+04,1.221169612558005247e+04,2.656399812437116242e-18
1.221169612558005247e+04,1.230789107847641208e+04,1.287513182200206932e-17
1.230789107847641208e+04,1.240408603137277169e+04,3.776304431116845372e-17
1.240408603137277169e+04,1.250028098426913311e+04,8.500654657406005932e-18
1.250028098426913311e+04,1.259647593716549272e+04,0.000000000000000000e+00
1.259647593716549272e+04,1.269267089006185233e+04,0.000000000000000000e+00
1.269267089006185233e+04,1.278886584295821376e+04,1.564661719616933598e-17
1.278886584295821376e+04,1.288506079585457337e+04,3.583117634696407050e-06
1.288506079585457337e+04,1.298125574875093480e+04,1.581132892999194582e-05
1.298125574875093480e+04,1.307745070164729441e+04,3.780955311053273377e-05
1.307745070164729441e+04,1.317364565454365402e+04,6.835123021647348542e-05
1.317364565454365402e+04,1.326984060744001545e+04,1.041660918615555447e-04
1.326984060744001545e+04,1.336603556033637506e+04,1.422053032933031356e-04
