benchmark,setting,horizon_days,left_edge,right_edge,mass
lognormal,baseline,60,6386.190766083303,6481.58198035656,0.050749282966121995
lognormal,baseline,60,6481.58198035656,6576.973194629817,0.042271923670038195
lognormal,baseline,60,6576.973194629817,6672.364408903075,0.03427017577749147
lognormal,baseline,60,6672.364408903075,6767.75562317633,0.027027991584619975
lognormal,baseline,60,6767.75562317633,6863.146837449587,0.020649014442719212
lognormal,baseline,60,6863.146837449587,6958.538051722844,0.015256860601977274
lognormal,baseline,60,6958.538051722844,7053.929265996101,0.010954377840955784
lognormal,baseline,60,7053.929265996101,7149.320480269359,0.007707619770592382
lognormal,baseline,60,7149.320480269359,7244.711694542616,0.005335895429558614
lognormal,baseline,60,7244.711694542616,7340.102908815873,0.0035425430352877185
lognormal,baseline,60,7340.102908815873,7435.494123089128,0.002202679514494253
lognormal,baseline,60,7435.494123089128,7530.885337362386,0.0012650678890968005
lognormal,baseline,60,7530.885337362386,7626.276551635643,0.0006688616022866736
lognormal,baseline,60,7626.276551635643,7721.6677659089,0.0003423824502579535
lognormal,baseline,60,7721.6677659089,7817.058980182157,0.0002091633224234599
lognormal,baseline,60,7817.058980182157,7912.450194455414,0.00019399094173585204
lognormal,baseline,60,7912.450194455414,8007.841408728671,0.00022894860508032087
lognormal,baseline,60,8007.841408728671,8103.232623001928,0.00025945892349058116
lognormal,baseline,60,8103.232623001928,8198.623837275185,0.0002503265622128211
lognormal,baseline,60,8198.623837275185,8294.01505154844,0.00019178098074929087
lognormal,baseline,60,8294.01505154844,8389.406265821697,0.00010549538051391982
lognormal,baseline,60,8389.406265821697,8484.797480094956,3.171289146921821e-05
lognormal,baseline,60,8484.797480094956,8580.188694368213,3.300249043141116e-12
lognormal,baseline,60,8580.188694368213,8675.57990864147,1.0279699516320464e-12
lognormal,baseline,60,8675.57990864147,8770.971122914727,1.0357910450825675e-12
lognormal,baseline,60,8770.971122914727,8866.362337187984,8.56408093861663e-13
lognormal,baseline,60,8866.362337187984,8961.75355146124,7.289936508574174e-13
lognormal,baseline,60,8961.75355146124,9057.144765734496,6.362515081684721e-13
lognormal,baseline,60,9057.144765734496,9152.535980007753,5.659391185475316e-13
lognormal,baseline,60,9152.535980007753,9247.92719428101,5.108553926450873e-13
lognormal,baseline,60,9247.92719428101,9343.318408554267,4.665927274122682e-13
lognormal,baseline,60,9343.318408554267,9438.709622827524,4.3030143650719426e-13
lognormal,baseline,60,9438.709622827524,9534.100837100781,4.0005615541258764e-13
lognormal,baseline,60,9534.100837100781,9629.492051374038,3.745096168724803e-13
lognormal,baseline,60,9629.492051374038,9724.883265647295,3.526914869526274e-13
lognormal,baseline,60,9724.883265647295,9820.274479920552,3.3388783113981985e-13
lognormal,baseline,60,9820.274479920552,9915.665694193809,3.1754195755476245e-13
lognormal,baseline,60,9915.665694193809,10011.056908467066,3.032246370078762e-13
lognormal,baseline,60,10011.056908467066,10106.448122740323,2.9061767664345253e-13
lognormal,baseline,60,10106.448122740323,10201.83933701358,2.79469649080022e-13
lognormal,baseline,60,10201.83933701358,10297.230551286835,2.6957966222592655e-13
lognormal,baseline,60,10297.230551286835,10392.621765560092,2.607857892001075e-13
lognormal,baseline,60,10392.621765560092,10488.01297983335,2.52956614901898e-13
lognormal,baseline,60,10488.01297983335,10583.404194106606,2.4598498782037394e-13
lognormal,baseline,60,10583.404194106606,10678.795408379863,2.397833568566956e-13
lognormal,baseline,60,10678.795408379863,10774.18662265312,2.3428027068008953e-13
lognormal,baseline,60,10774.18662265312,10869.577836926379,2.2941774783576963e-13
lognormal,baseline,60,10869.577836926379,10964.969051199634,2.251493151026515e-13
lognormal,baseline,60,10964.969051199634,11060.360265472891,2.2143857487948972e-13
lognormal,baseline,60,11060.360265472891,11155.751479746148,2.1825820883299e-13
lognormal,baseline,60,11155.751479746148,11251.142694019405,2.1558936104740744e-13
lognormal,baseline,60,11251.142694019405,11346.533908292662,2.134213743493264e-13
lognormal,baseline,60,11346.533908292662,11441.925122565919,2.1175188246129015e-13
lognormal,baseline,60,11441.925122565919,11537.316336839176,2.1058729213198652e-13
lognormal,baseline,60,11537.316336839176,11632.707551112433,2.0994372854116926e-13
lognormal,baseline,60,11632.707551112433,11728.098765385688,2.098485703389583e-13
lognormal,baseline,60,11728.098765385688,11823.489979658947,2.1034277816102076e-13
lognormal,baseline,60,11823.489979658947,11918.881193932204,2.1148434144455684e-13
lognormal,baseline,60,11918.881193932204,12014.272408205461,2.133533664451643e-13
lognormal,baseline,60,12014.272408205461,12109.663622478718,2.160596634423046e-13
lognormal,baseline,60,12109.663622478718,12205.054836751973,2.197542808937092e-13
lognormal,baseline,60,12205.054836751973,12300.446051025232,2.2464751930861572e-13
lognormal,baseline,60,12300.446051025232,12395.837265298487,2.3103805370024215e-13
lognormal,baseline,60,12395.837265298487,12491.228479571742,2.393620812137518e-13
lognormal,baseline,60,12491.228479571742,12586.619693845001,2.5028080031463426e-13
lognormal,baseline,60,12586.619693845001,12682.010908118256,2.648468794446828e-13
lognormal,baseline,60,12682.010908118256,12777.402122391515,2.8484965978559526e-13
lognormal,baseline,60,12777.402122391515,12872.793336664772,3.136179247745233e-13
lognormal,baseline,60,12872.793336664772,12968.18455093803,3.582140671502364e-13
lognormal,baseline,60,12968.18455093803,13063.575765211286,4.3712493388818066e-13
lognormal,baseline,60,13063.575765211286,13158.966979484541,6.233101089815124e-13
lognormal,baseline,60,13158.966979484541,13254.3581937578,2.293720737601107e-12
lognormal,baseline,90,1811.1301604548942,1906.7175855900134,4.765793937196098e-12
lognormal,baseline,90,1906.7175855900134,2002.3050107251331,1.9093407249583353e-12
lognormal,baseline,90,2002.3050107251331,2097.892435860252,1.6940032736043578e-12
lognormal,baseline,90,2097.892435860252,2193.479860995372,1.7079003533655915e-12
lognormal,baseline,90,2193.479860995372,2289.067286130491,1.8309724439530743e-12
lognormal,baseline,90,2289.067286130491,2384.654711265611,2.051322573589234e-12
lognormal,baseline,90,2384.654711265611,2480.24213640073,2.391968690361608e-12
lognormal,baseline,90,2480.24213640073,2575.8295615358493,2.911764310239623e-12
lognormal,baseline,90,2575.8295615358493,2671.416986670969,3.737183667200611e-12
lognormal,baseline,90,2671.416986670969,2767.0044118060887,5.1643378187092855e-12
lognormal,baseline,90,2767.0044118060887,2862.591836941208,8.041717605102454e-12
lognormal,baseline,90,2862.591836941208,2958.179262076327,1.5530369910623662e-11
lognormal,baseline,90,2958.179262076327,3053.766687211447,2.596469151152333e-10
lognormal,baseline,90,3053.766687211447,3149.3541123465666,2.7195044435846966e-07
lognormal,baseline,90,3149.3541123465666,3244.9415374816854,2.905236027637281e-11
lognormal,baseline,90,3244.9415374816854,3340.528962616805,4.943163618160549e-10
lognormal,baseline,90,3340.528962616805,3436.116387751924,6.880714413490984e-06
lognormal,baseline,90,3436.116387751924,3531.7038128870436,2.8166774137823064e-05
lognormal,baseline,90,3531.7038128870436,3627.2912380221633,6.344043187127067e-05
lognormal,baseline,90,3627.2912380221633,3722.8786631572825,9.80373185037495e-05
lognormal,baseline,90,3722.8786631572825,3818.466088292402,0.00011364384088319297
lognormal,baseline,90,3818.466088292402,3914.053513427522,9.92334872473276e-05
lognormal,baseline,90,3914.053513427522,4009.6409385626407,6.171755998773865e-05
lognormal,baseline,90,4009.6409385626407,4105.22836369776,2.1978309058585333e-05
lognormal,baseline,90,4105.22836369776,4200.81578883288,3.1551284928309598e-12
lognormal,baseline,90,4200.81578883288,4296.403213967999,4.528220905026247e-13
lognormal,baseline,90,4296.403213967999,4391.990639103119,3.582728967073543e-05
lognormal,baseline,90,4391.990639103119,4487.578064238238,0.0003597669144752806
lognormal,baseline,90,4487.578064238238,4583.165489373358,0.0011637302053055989
lognormal,baseline,90,4583.165489373358,4678.752914508477,0.0025645410086915636
lognormal,baseline,90,4678.752914508477,4774.340339643596,0.004611067652785588
lognormal,baseline,90,4774.340339643596,4869.927764778716,0.0073068443162171174
lognormal,baseline,90,4869.927764778716,4965.5151899138355,0.010710595899663217
lognormal,baseline,90,4965.5151899138355,5061.102615048954,0.014942707030249556
lognormal,baseline,90,5061.102615048954,5156.690040184074,0.02006881252176742
lognormal,baseline,90,5156.690040184074,5252.277465319194,0.02602070209769773
lognormal,baseline,90,5252.277465319194,5347.864890454313,0.03260344099165671
lognormal,baseline,90,5347.864890454313,5443.452315589432,0.039479114023362925
lognormal,baseline,90,5443.452315589432,5539.039740724551,0.046237781332787414
lognormal,baseline,90,5539.039740724551,5634.627165859671,0.05245230095025555
lognormal,baseline,90,5634.627165859671,5730.21459099479,0.057729086994639585
lognormal,baseline,90,5730.21459099479,5825.80201612991,0.06163499068403546
lognormal,baseline,90,5825.80201612991,5921.38944126503,0.06384949072987511
lognormal,baseline,90,5921.38944126503,6016.976866400149,0.0643080784844261
lognormal,baseline,90,6016.976866400149,6112.564291535267,0.06310825458208226
lognormal,baseline,90,6112.564291535267,6208.151716670387,0.06038581413701852
lognormal,baseline,90,6208.151716670387,6303.739141805507,0.05635643615619644
lognormal,baseline,90,6303.739141805507,6399.326566940626,0.051383161737914504
lognormal,baseline,90,6399.326566940626,6494.913992075746,0.04591265992019368
lognormal,baseline,90,6494.913992075746,6590.501417210866,0.04036965563618331
lognormal,baseline,90,6590.501417210866,6686.0888423459855,0.03494929314302176
lognormal,baseline,90,6686.0888423459855,6781.676267481103,0.029737700522507668
lognormal,baseline,90,6781.676267481103,6877.263692616223,0.024864820511262382
lognormal,baseline,90,6877.263692616223,6972.851117751343,0.020431211749980232
lognormal,baseline,90,6972.851117751343,7068.4385428864625,0.01645458883770076
lognormal,baseline,90,7068.4385428864625,7164.025968021582,0.012858320082246183
lognormal,baseline,90,7164.025968021582,7259.613393156702,0.009679497088805004
lognormal,baseline,90,7259.613393156702,7355.200818291822,0.007011537146766761
lognormal,baseline,90,7355.200818291822,7450.7882434269395,0.004941604500471722
lognormal,baseline,90,7450.7882434269395,7546.375668562059,0.0035091313042502044
lognormal,baseline,90,7546.375668562059,7641.963093697179,0.002659606329639877
lognormal,baseline,90,7641.963093697179,7737.550518832299,0.0022201515578261955
lognormal,baseline,90,7737.550518832299,7833.137943967418,0.001930208183850295
lognormal,baseline,90,7833.137943967418,7928.725369102538,0.0016360154096088592
lognormal,baseline,90,7928.725369102538,8024.312794237658,0.0012860001933417155
lognormal,baseline,90,8024.312794237658,8119.9002193727765,0.0008985101778304709
lognormal,baseline,90,8119.9002193727765,8215.487644507897,0.0005295455752668616
lognormal,baseline,90,8215.487644507897,8311.075069643015,0.00024049105225775358
lognormal,baseline,90,8311.075069643015,8406.662494778135,6.587140747795399e-05
lognormal,baseline,90,8406.662494778135,8502.249919913254,1.0956641693498892e-11
lognormal,baseline,90,8502.249919913254,8597.837345048374,1.3103050520974201e-12
lognormal,baseline,90,8597.837345048374,8693.424770183494,4.414863958284467e-12
lognormal,baseline,90,8693.424770183494,8789.012195318614,4.921834992291609e-12
lognormal,baseline,90,8789.012195318614,8884.599620453733,5.561642584039409e-12
lognormal,baseline,90,8884.599620453733,8980.187045588851,6.4012692083120134e-12
lognormal,baseline,90,8980.187045588851,9075.77447072397,7.550874024280898e-12
lognormal,baseline,90,9075.77447072397,9171.36189585909,9.223274639895832e-12
lognormal,baseline,90,9171.36189585909,9266.94932099421,1.1885840574065138e-11
lognormal,baseline,90,9266.94932099421,9362.53674612933,1.4558321682182342e-11
lognormal,baseline,90,9362.53674612933,9458.12417126445,5.880922819917034e-11
lognormal,baseline,90,9458.12417126445,9553.71159639957,1.2192150540938285e-06
lognormal,baseline,90,9553.71159639957,9649.299021534687,2.7175038548651485e-06
lognormal,baseline,90,9649.299021534687,9744.886446669807,2.6193437927769936e-06
lognormal,baseline,90,9744.886446669807,9840.473871804927,1.1062392829826108e-06
lognormal,baseline,90,9840.473871804927,9936.061296940046,7.093434086393658e-11
lognormal,baseline,90,9936.061296940046,10031.648722075166,1.8588044755418354e-11
